feature,gain
error_count_24h,0.7972493
days_since_last_maintenance,0.059761148
distinct_error_types,0.031328898
voltage_mean_12h,0.01983188
pressure_mean_24h,0.019234248
voltage_mean_24h,0.0099971425
vibration_mean_24h,0.008003347
vibration_mean_12h,0.007151642
pressure_mean_12h,0.006835026
total_prior_failures,0.0068101413
rotation_mean_24h,0.0063854908
age_category_mid_life,0.0044674114
vibration_min_3h,0.0028179951
model_model4,0.0026687733
model_model3,0.0017550495
age,0.0016414614
rotation_mean_12h,0.0014099075
pressure_mean_3h,0.0013587248
vibration_std_12h,0.0012084456
voltage_std_24h,0.0011638255
model_model2,0.001129773
pressure_std_24h,0.0011053267
days_since_last_failure,0.00085768185
vibration_std_24h,0.000583903
rotation_min_3h,0.00044642948
pressure_std_3h,0.00042084072
pressure_min_3h,0.00041389407
distinct_failure_types,0.0003885295
vibration_max_3h,0.00038393348
rotation_std_24h,0.00031076878
vibration_mean_3h,0.0003092922
rotation_std_12h,0.00030539752
voltage_std_12h,0.00028728286
hours_since_last_error,0.0002772713
pressure_max_3h,0.0002726201
rotation_max_3h,0.0002520887
voltage_min_3h,0.00023689178
vibration_std_3h,0.00020461643
rotation_mean_3h,0.0001777762
voltage_max_3h,0.00017262482
pressure_std_12h,0.00013430852
voltage_mean_3h,0.00012713432
rotation_std_3h,9.868736e-05
voltage_std_3h,2.2959783e-05
component_diversity,0.0
age_category_new,0.0
